traveler_name,destination_city,trip_length_days,justification,has_packet,num_flags,num_high_flags,num_med_flags,num_low_flags,risk_score,final_action
Traveler_166,Ramstein,10,Multiple discrepancies require further review and validation.,1,4,2,1,1,27,hold
Traveler_167,Tampa,2,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_168,Washington DC,3,Travel supports mission readiness and coordination.,1,3,0,2,1,15,clarify
Traveler_169,San Diego,5,Travel supports formal training objectives and organizational preparedness.,1,1,0,1,0,6,clarify
Traveler_170,San Diego,5,Official travel for training and operational support.,0,3,0,3,0,18,clarify
Traveler_171,Ramstein,6,Travel supports mission readiness and coordination.,1,4,0,2,2,18,clarify
Traveler_172,San Jose,1,Required for mission-related activities and planning.,1,2,1,1,0,15,clarify
Traveler_173,San Jose,1,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_174,Ramstein,9,"Mission-related travel supporting readiness, coordination, and operational requirements.",1,1,1,0,0,9,approve
Traveler_175,San Diego,6,Travel supports mission readiness and coordination.,1,4,0,1,3,15,approve
Traveler_176,San Diego,3,Multiple discrepancies require further review and validation.,1,3,2,1,0,24,hold
Traveler_177,Honolulu,7,Travel needed.,0,1,0,1,0,6,clarify
Traveler_178,San Diego,4,Travel requires additional approval due to high risk factors.,1,4,2,0,2,24,hold
Traveler_179,Ramstein,9,Travel requires additional approval due to high risk factors.,0,2,2,0,0,18,hold
Traveler_180,San Diego,3,Travel supports mission readiness and coordination.,1,4,0,2,2,18,approve
Traveler_181,Tampa,6,"Travel required for operational planning, coordination, and support.",1,1,1,0,0,9,approve
Traveler_182,Osan,10,Travel supports mission readiness and coordination.,1,2,0,2,0,12,clarify
Traveler_183,Washington DC,1,Travel supports stakeholder coordination tied to organizational priorities.,1,1,1,0,0,9,approve
Traveler_184,San Jose,1,"Official travel for routine duties, meetings, and administrative support.",1,1,0,1,0,6,approve
Traveler_185,San Diego,4,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,clarify
Traveler_186,Honolulu,7,Travel supports mission readiness and coordination.,1,2,1,0,1,12,clarify
Traveler_187,Norfolk,2,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_188,Norfolk,4,"Travel required for operational planning, coordination, and support.",1,0,0,0,0,0,approve
Traveler_189,Washington DC,3,Required for mission-related activities and planning.,1,3,1,0,2,15,clarify
Traveler_190,San Diego,2,High priority mission but documentation issues exist.,0,2,2,0,0,18,hold
Traveler_191,Tokyo,6,Travel supports mission readiness and coordination.,1,4,0,1,3,15,clarify
Traveler_192,Norfolk,2,"Travel required for operational planning, coordination, and support.",1,1,0,1,0,6,approve
Traveler_193,Ramstein,6,Travel requires additional approval due to high risk factors.,0,3,2,0,1,21,clarify
Traveler_194,Colorado Springs,2,Official travel for training and operational support.,0,2,1,1,0,15,clarify
Traveler_195,Ramstein,7,Official travel for training and operational support.,1,3,1,1,1,18,clarify
Traveler_196,Colorado Springs,2,Mission trip.,0,1,1,0,0,9,clarify
Traveler_197,Osan,6,Required for mission-related activities and planning.,1,2,0,0,2,6,clarify
Traveler_198,San Diego,5,Travel supports mission readiness and coordination.,1,2,1,0,1,12,clarify
Traveler_199,San Diego,4,Meeting.,1,0,0,0,0,0,approve
Traveler_200,San Jose,1,Official travel for training and operational support.,1,2,0,1,1,9,approve
Traveler_201,Colorado Springs,5,Travel supports formal training objectives and organizational preparedness.,0,1,1,0,0,9,approve
Traveler_202,Tokyo,7,High priority mission but documentation issues exist.,1,4,2,0,2,24,hold
Traveler_203,Tokyo,7,Official travel for training and operational support.,1,2,1,0,1,12,clarify
Traveler_204,Honolulu,8,Travel supports mission readiness and coordination.,1,2,1,1,0,15,clarify
Traveler_205,Tampa,2,Operational travel supporting mission coordination and readiness activities.,1,0,0,0,0,0,clarify
Traveler_206,Norfolk,6,Required for mission-related activities and planning.,0,2,0,2,0,12,clarify
Traveler_207,Osan,10,Official travel for training and operational support.,1,2,1,1,0,15,clarify
Traveler_208,Washington DC,3,"Coordination travel for program review, leadership engagement, and planning.",1,1,1,0,0,9,approve
Traveler_209,Norfolk,5,High priority mission but documentation issues exist.,1,3,2,0,1,21,hold
Traveler_210,San Diego,3,Travel supports formal training objectives and organizational preparedness.,1,0,0,0,0,0,approve
Traveler_211,San Diego,6,Travel needed.,1,1,0,0,1,3,approve
Traveler_212,Washington DC,3,Travel supports mission readiness and coordination.,0,4,1,0,3,18,clarify
Traveler_213,Norfolk,4,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_214,Tokyo,6,"Mission-related travel supporting readiness, coordination, and operational requirements.",1,1,0,0,1,3,approve
Traveler_215,Osan,10,Travel requires additional approval due to high risk factors.,1,3,2,1,0,24,hold
Traveler_216,Tampa,2,Required for mission-related activities and planning.,1,3,0,3,0,18,approve
Traveler_217,Tokyo,5,Travel supports mission readiness and coordination.,1,4,1,0,3,18,clarify
Traveler_218,Norfolk,3,Operational travel supporting mission coordination and readiness activities.,1,0,0,0,0,0,clarify
Traveler_219,Ramstein,9,Official travel for training and operational support.,1,3,1,0,2,15,clarify
Traveler_220,Tokyo,10,Multiple discrepancies require further review and validation.,1,4,2,2,0,30,clarify
Traveler_221,San Diego,2,Required for mission-related activities and planning.,1,2,1,0,1,12,clarify
Traveler_222,Washington DC,1,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_223,Colorado Springs,7,Travel supports mission readiness and coordination.,1,3,0,2,1,15,approve
Traveler_224,Tampa,5,Operational travel supporting mission coordination and readiness activities.,0,1,1,0,0,9,clarify
Traveler_225,Washington DC,3,Travel requires additional approval due to high risk factors.,1,3,1,2,0,21,hold
Traveler_226,San Jose,3,Travel aligns with organizational objectives and official administrative needs.,1,0,0,0,0,0,approve
Traveler_227,San Jose,1,Administrative travel for official coordination and program support.,1,0,0,0,0,0,approve
Traveler_228,Norfolk,5,"Travel required for operational planning, coordination, and support.",1,1,1,0,0,9,approve
Traveler_229,Washington DC,1,Travel supports stakeholder coordination tied to organizational priorities.,1,0,0,0,0,0,approve
Traveler_230,Tokyo,5,Official travel required to support mission execution and overseas coordination.,1,1,1,0,0,9,approve
Traveler_231,Tampa,6,High priority mission but documentation issues exist.,1,4,2,1,1,27,hold
Traveler_232,Colorado Springs,3,Travel supports mission readiness and coordination.,1,2,1,0,1,12,approve
Traveler_233,Ramstein,5,Travel requires additional approval due to high risk factors.,1,3,1,2,0,21,hold
Traveler_234,San Diego,5,Travel supports formal training objectives and organizational preparedness.,0,1,0,0,1,3,approve
Traveler_235,Tampa,6,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_236,Colorado Springs,2,Multiple discrepancies require further review and validation.,1,4,2,2,0,30,hold
Traveler_237,Washington DC,5,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_238,Tokyo,6,Required for mission-related activities and planning.,1,3,0,0,3,9,clarify
Traveler_239,Washington DC,1,Official travel.,1,1,1,0,0,9,approve
Traveler_240,Colorado Springs,7,Required for mission-related activities and planning.,1,2,0,1,1,9,clarify
Traveler_241,San Diego,5,Official travel for training and operational support.,1,2,1,0,1,12,clarify
Traveler_242,Colorado Springs,3,Official travel for required training and mission readiness support.,1,0,0,0,0,0,approve
Traveler_243,Washington DC,1,Travel supports stakeholder coordination tied to organizational priorities.,1,0,0,0,0,0,clarify
Traveler_244,San Jose,4,Administrative travel for official coordination and program support.,1,0,0,0,0,0,approve
Traveler_245,Tampa,3,Official travel for training and operational support.,1,3,0,3,0,18,clarify
Traveler_246,San Diego,5,Travel supports formal training objectives and organizational preparedness.,1,1,1,0,0,9,clarify
Traveler_247,Tampa,4,Official travel in support of mission execution and operational readiness.,1,1,1,0,0,9,approve
Traveler_248,Ramstein,10,Multiple discrepancies require further review and validation.,1,2,2,0,0,18,hold
Traveler_249,Ramstein,7,Required for mission-related activities and planning.,1,2,1,1,0,15,approve
Traveler_250,Norfolk,2,Official travel in support of mission execution and operational readiness.,1,0,0,0,0,0,approve
Traveler_251,Honolulu,5,Travel supports scheduled mission-related activities and oversight.,1,0,0,0,0,0,approve
Traveler_252,Colorado Springs,7,Official travel for required training and mission readiness support.,1,1,0,0,1,3,approve
Traveler_253,San Diego,3,Official travel for required training and mission readiness support.,1,1,0,1,0,6,clarify
Traveler_254,Osan,9,Official travel for training and operational support.,0,3,0,2,1,15,clarify
Traveler_255,Washington DC,3,Official travel for interagency coordination and mission planning support.,1,0,0,0,0,0,clarify
Traveler_256,San Diego,2,Mission trip.,1,0,0,0,0,0,approve
Traveler_257,San Diego,5,Required for mission-related activities and planning.,1,2,0,0,2,6,clarify
Traveler_258,San Jose,4,"Official travel for routine duties, meetings, and administrative support.",1,1,0,0,1,3,approve
Traveler_259,Norfolk,4,Official travel for training and operational support.,1,3,0,0,3,9,approve
Traveler_260,Norfolk,7,"Travel required for operational planning, coordination, and support.",1,0,0,0,0,0,approve
Traveler_261,San Jose,1,Administrative travel for official coordination and program support.,0,0,0,0,0,0,approve
Traveler_262,San Diego,5,Required attendance for training event aligned with mission support needs.,1,1,0,0,1,3,approve
Traveler_263,San Diego,3,Multiple discrepancies require further review and validation.,1,2,2,0,0,18,hold
Traveler_264,Osan,6,Travel supports mission readiness and coordination.,1,4,0,0,4,12,approve
Traveler_265,Ramstein,9,Travel requires additional approval due to high risk factors.,1,4,0,3,1,21,hold
Traveler_266,Washington DC,1,Travel supports stakeholder coordination tied to organizational priorities.,1,0,0,0,0,0,approve
Traveler_267,Honolulu,8,Support travel aligned with mission readiness and organizational objectives.,0,0,0,0,0,0,approve
Traveler_268,San Diego,2,Official travel for training and operational support.,1,2,1,0,1,12,approve
Traveler_269,Honolulu,6,Support travel aligned with mission readiness and organizational objectives.,1,0,0,0,0,0,approve
Traveler_270,Ramstein,6,"Mission-related travel supporting readiness, coordination, and operational requirements.",0,1,1,0,0,9,approve
Traveler_271,Tokyo,7,Travel supports mission readiness and coordination.,1,3,1,0,2,15,approve
Traveler_272,Washington DC,2,Official travel for interagency coordination and mission planning support.,1,0,0,0,0,0,approve
Traveler_273,Colorado Springs,5,Travel needed.,0,0,0,0,0,0,approve
Traveler_274,Washington DC,3,Official travel for interagency coordination and mission planning support.,1,1,1,0,0,9,clarify
Traveler_275,Tokyo,7,High priority mission but documentation issues exist.,1,3,2,1,0,24,clarify
Traveler_276,Osan,5,Official travel for training and operational support.,1,3,1,0,2,15,approve
Traveler_277,Tokyo,8,Travel supports mission readiness and coordination.,0,2,1,0,1,12,approve
Traveler_278,San Diego,3,High priority mission but documentation issues exist.,0,2,2,0,0,18,hold
Traveler_279,Tampa,5,Required for mission-related activities and planning.,1,2,0,0,2,6,clarify
Traveler_280,Tampa,6,Required for mission-related activities and planning.,0,2,0,0,2,6,clarify
Traveler_281,Tampa,2,High priority mission but documentation issues exist.,1,3,2,1,0,24,hold
Traveler_282,Norfolk,6,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_283,Ramstein,8,Multiple discrepancies require further review and validation.,1,4,1,1,2,21,hold
Traveler_284,Tokyo,9,Travel requires additional approval due to high risk factors.,1,2,2,0,0,18,hold
Traveler_285,Osan,9,Official travel for training and operational support.,0,2,1,1,0,15,clarify
Traveler_286,Washington DC,5,Mission trip.,0,0,0,0,0,0,approve
Traveler_287,Washington DC,1,Travel supports mission readiness and coordination.,1,2,1,0,1,12,clarify
Traveler_288,Tampa,5,Required for mission-related activities and planning.,0,2,1,1,0,15,clarify
Traveler_289,Ramstein,5,Official travel required to support mission execution and overseas coordination.,1,1,1,0,0,9,clarify
Traveler_290,San Jose,4,Administrative travel for official coordination and program support.,1,1,1,0,0,9,approve
Traveler_291,San Diego,5,Multiple discrepancies require further review and validation.,0,3,2,0,1,21,clarify
Traveler_292,Colorado Springs,2,Travel requires additional approval due to high risk factors.,1,2,2,0,0,18,hold
Traveler_293,Honolulu,7,Travel supports mission readiness and coordination.,1,2,0,0,2,6,approve
Traveler_294,San Jose,3,Travel supports mission readiness and coordination.,0,3,0,1,2,12,approve
Traveler_295,Ramstein,7,Multiple discrepancies require further review and validation.,1,2,2,0,0,18,clarify
Traveler_296,San Jose,1,High priority mission but documentation issues exist.,1,4,1,1,2,21,hold
Traveler_297,Tampa,2,Mission trip.,1,0,0,0,0,0,approve
Traveler_298,Washington DC,4,High priority mission but documentation issues exist.,1,4,1,3,0,27,hold
